trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.295}",20,0,-171.8820061585382,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.29}",25,0,-61.35636394090021,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.285}",20,0,-143.8244018867368,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.27999999999999997}",25,0,-34.742745418140224,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.27499999999999997}",25,13,-23.225483745819375,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.26999999999999996}",20,0,-90.90877244640416,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.26499999999999996}",25,0,-113.72024957231855,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.25999999999999995}",25,0,-9.832813423287037,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.25499999999999995}",20,4,-85.59335836385901,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
10,False,"{'a': 0.6, 'e': 0.24999999999999994}",25,20,10.447963374508099,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.24499999999999994}",20,0,-27.33215148225947,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.23999999999999994}",30,9,11.358888130042356,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.23499999999999993}",20,12,-5.231752206616625,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.22999999999999993}",20,0,-24.123792720688193,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.22499999999999992}",25,3,7.33016823433413,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.21999999999999992}",25,0,8.696776154447543,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.2149999999999999}",25,7,-67.15509391462817,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.6, 'e': 0.2099999999999999}",20,0,-22.767299160768573,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.2049999999999999}",20,0,23.3167779064733,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.1999999999999999}",20,0,2.137301376361384,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.1949999999999999}",20,0,17.107478016267915,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.1899999999999999}",20,10,-7.247415678871818,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.1849999999999999}",30,18,17.329273395672363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.17999999999999988}",30,21,-3.6426915669356874,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.17499999999999988}",20,10,12.083768795146696,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.6, 'e': 0.16999999999999987}",30,0,-92.43522550249058,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.16499999999999987}",25,0,4.740342258535165,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.15999999999999986}",25,4,9.111897679631848,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.15499999999999986}",20,0,23.099782541753612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.6, 'e': 0.14999999999999986}",20,0,-14.587860655597046,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.14499999999999985}",30,5,20.141413826887465,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.13999999999999985}",35,3,35.376416050062865,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.13499999999999984}",20,10,17.707600811113082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.12999999999999984}",25,10,3.2793320744364767,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.12499999999999983}",20,1,22.56703338467944,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.11999999999999983}",20,5,6.018948278693001,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.11499999999999982}",25,9,17.921945810039666,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.10999999999999982}",25,0,37.95467838437229,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.10499999999999982}",20,0,-3.035965195775933,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.09999999999999981}",25,0,8.145013819857068,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.0949999999999998}",25,17,2.4755364250519025,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.0899999999999998}",20,0,13.411955854919903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.0849999999999998}",25,0,21.823968499087613,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.0799999999999998}",25,11,13.844421943380784,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.07499999999999979}",20,16,7.993961148125155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.06999999999999978}",35,0,49.848623464184946,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.06499999999999978}",20,3,26.77250585253703,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.05999999999999978}",20,14,-2.703836074280961,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.054999999999999785}",20,7,23.418664444224365,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.04999999999999979}",25,0,35.48407830008644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.04499999999999979}",20,8,22.167865712769906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.03999999999999979}",25,9,25.940416698718607,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.034999999999999795}",35,18,25.670211700175027,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.029999999999999794}",25,9,-58.46459106824296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.6, 'e': 0.024999999999999793}",20,0,27.84978638669177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.019999999999999792}",20,9,19.01028490454349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.014999999999999791}",20,6,13.208781205260795,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.00999999999999979}",25,4,21.631684198591262,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,14,-3.736906448794372,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,13,31.713179517473495,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,7,29.794464440765722,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,8,26.18564508422427,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,6,25.980905027231138,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,7,31.470255357058054,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,5,30.609562886593118,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,13,12.344739750365145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,5,20.660330496664383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,22,15.092772847566318,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
