trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.298}",20,0,-80.31840070613553,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.296}",30,20,-20.06108458970368,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.294}",20,0,-79.1651247912448,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.292}",25,0,-90.79837174325989,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.29}",20,0,-84.54151606894408,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.288}",30,0,-17.32625348779058,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.286}",20,0,-58.7393346907388,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.284}",30,0,-26.802197495245665,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.282}",35,8,-46.47879162514526,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.6, 'e': 0.27999999999999997}",25,20,9.052600658387266,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.27799999999999997}",35,0,-95.29829444000745,"{0: 27, 1: 2, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.27599999999999997}",20,10,10.547111694941279,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.27399999999999997}",20,2,5.283986082666583,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.27199999999999996}",25,0,-15.86464318662711,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.26999999999999996}",20,0,-0.9592597194100654,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.26799999999999996}",25,16,11.796014156470546,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.26599999999999996}",20,0,11.14634312963273,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.26399999999999996}",25,7,-93.89129516800749,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
19,False,"{'a': 0.6, 'e': 0.26199999999999996}",20,12,3.2509217462759548,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.25999999999999995}",20,10,-24.41192825979884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.6, 'e': 0.25799999999999995}",20,0,16.49955836291894,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.25599999999999995}",20,1,27.96107903068224,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.25399999999999995}",25,5,-59.37311054943947,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.25199999999999995}",25,0,24.567086379287325,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.24999999999999994}",25,1,-56.72112660788376,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.6, 'e': 0.24799999999999994}",35,15,-88.99866175134143,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
27,False,"{'a': 0.6, 'e': 0.24599999999999994}",25,10,-20.884546741099708,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.24399999999999994}",20,0,-40.27968183542845,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.24199999999999994}",20,4,-2.7588008015580554,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.23999999999999994}",20,8,-30.96471023789656,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.6, 'e': 0.23799999999999993}",35,13,15.85252837945212,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.6, 'e': 0.23599999999999993}",30,1,1.9261928612690136,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.6, 'e': 0.23399999999999993}",25,15,-1.1612056630330914,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.23199999999999993}",20,0,-102.42367687400375,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.6, 'e': 0.22999999999999993}",25,11,-14.024603369417058,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.22799999999999992}",25,13,-40.91392322883389,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.22599999999999992}",20,0,-31.90654658208239,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.22399999999999992}",20,13,-2.7448386790593036,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.22199999999999992}",20,6,24.669372844228718,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.21999999999999992}",25,0,19.24581835297814,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.21799999999999992}",20,0,16.45052596955828,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.6, 'e': 0.21599999999999991}",30,13,-21.191626850205306,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.2139999999999999}",20,0,-106.22297704356754,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
44,False,"{'a': 0.6, 'e': 0.2119999999999999}",30,11,-8.898265839551481,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.2099999999999999}",30,5,-21.651897107328406,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.6, 'e': 0.2079999999999999}",20,13,-1.5826968599181204,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.2059999999999999}",35,23,8.45937605136996,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.2039999999999999}",20,1,-14.190681177780634,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.2019999999999999}",20,5,19.0221044403577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.1999999999999999}",20,14,9.50342685971852,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.1979999999999999}",30,0,-35.819439547795234,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.1959999999999999}",25,0,0.09341083364265157,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.6, 'e': 0.1939999999999999}",25,0,-34.91221973070228,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.6, 'e': 0.1919999999999999}",30,12,24.84427087979886,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.1899999999999999}",25,0,0.81422070866082,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
