trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.8253356149096783}",25,0,-117.27590053299463,"{0: 17, 1: 2, 2: 1, 3: 4, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.3623577544766736}",30,16,-85.59815004461791,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.6, 'e': 0.2272020946930869}",30,0,-40.675089865309744,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.7373937155412454}",20,0,-100.56927914347771,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9899924966004454}",20,0,-63.31225301987382,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.8967584163341472}",20,6,-102.48500157928055,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.6, 'e': 0.4902608213406994}",20,0,-7.384144375709942,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.0874989834394464}",30,8,38.95721965154193,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.6346928759426339}",20,0,-3.1725278323624564,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.960170286650366}",20,0,-167.6829304562222,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.9502325919585296}",20,0,-66.00065966184198,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.6083513145322552}",25,17,-7.066894086667023,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.05395542056264975}",30,6,27.23475353416409,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
